name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
california,2019-08-25,99,67.7,81.4,98.1,67.7,81,55.4,43.4,0,0,0,,0,0,17.2,9.1,191.7,1012.7,0,9.9,336.1,29.1,10,,2019-08-25T06:28:52,2019-08-25T19:46:36,0.84,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-26,100.8,62.2,80.6,99.8,62.2,80,54.1,43.5,0,0,0,,0,0,,9.7,222.8,1010,0,9.9,334,28.9,10,,2019-08-26T06:29:45,2019-08-26T19:45:09,0.88,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155"
california,2019-08-27,98.2,68.5,79.9,97,68.5,79.3,51.7,38.9,0,0,0,,0,0,17.2,11.9,184.9,1007.9,2.8,9.9,325.1,27.9,10,,2019-08-27T06:30:38,2019-08-27T19:43:42,0.91,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-28,87.1,63.4,73.7,86.3,63.4,73.6,56.7,56.9,0,0,0,,0,0,21.9,14.3,185.1,1010.3,6.5,9.9,318,27.4,10,,2019-08-28T06:31:31,2019-08-28T19:42:14,0.94,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,AN063,KSAC,CI155,72057600174"
california,2019-08-29,86.6,64,72.9,85.8,64,72.8,57.8,61.5,0,0,0,,0,0,21.9,14.5,190.4,1014.1,0.6,9.9,326.5,28.2,10,,2019-08-29T06:32:24,2019-08-29T19:40:45,0.98,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-08-30,91.8,60.7,74.3,90.3,60.7,73.9,56.8,58.7,0,0,0,,0,0,,9.5,189.7,1014.4,2,9.9,334.6,28.9,10,,2019-08-30T06:33:17,2019-08-30T19:39:15,0,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-31,96.7,60.8,77.5,93.9,60.8,76.7,56.1,53.9,0,0,0,,0,0,,7.2,225,1012,0,9.9,333.8,28.8,10,,2019-08-31T06:34:10,2019-08-31T19:37:45,0.05,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-09-01,97,63.4,79.3,93,63.4,78.3,53.2,45.1,0,0,0,,0,0,,10.5,200.8,1011.3,0,9.9,330.8,28.5,10,,2019-09-01T06:35:02,2019-09-01T19:36:15,0.08,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-09-02,96,65.8,78,93.8,65.8,77.4,54.8,47.6,0,0,0,,0,0,19.7,12.7,191.4,1011.8,0.4,9.9,319.2,27.4,10,,2019-09-02T06:35:55,2019-09-02T19:34:44,0.11,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-09-03,92.9,60.9,74.4,90.4,60.9,73.8,55.4,56.3,0,0,0,,0,0,,8.1,190.1,1012.6,0,9.9,330.2,28.5,10,,2019-09-03T06:36:48,2019-09-03T19:33:12,0.15,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
